"","lat","lon","grid_id","EpiDist","VS30"
"1416",33.2,-115.2,1416,329.096135253485,710
"1452",33.2,-115,1452,346.577192890507,442
"1488",33.2,-114.8,1488,364.162425156168,480
"1524",33.2,-114.6,1524,381.83737776827,415
"1560",33.2,-114.4,1560,399.59008317174,361
"1596",33.2,-114.2,1596,417.410558408774,516
"1632",33.2,-114,1632,435.290417337369,302
"13",33.4,-123,13,422.930925935583,600
"49",33.4,-122.8,49,404.86169461462,600
"85",33.4,-122.6,85,386.834186688963,600
"121",33.4,-122.4,121,368.854592929588,600
"157",33.4,-122.2,157,350.930351076294,600
"193",33.4,-122,193,333.070470735507,600
"229",33.4,-121.8,229,315.28596286196,600
"265",33.4,-121.6,265,297.590414093927,600
"301",33.4,-121.4,301,280.000764245937,600
"337",33.4,-121.2,337,262.538372416441,600
"373",33.4,-121,373,245.230498441925,600
"409",33.4,-120.8,409,228.112389576499,600
"445",33.4,-120.6,445,211.230258985955,600
"481",33.4,-120.4,481,194.645589361032,600
"517",33.4,-120.2,517,178.441410889089,600
"553",33.4,-120,553,162.731496985909,600
"589",33.4,-119.8,589,147.673743959227,600
"625",33.4,-119.6,625,133.489094633288,600
"661",33.4,-119.4,661,120.48637413047,600
"697",33.4,-119.2,697,109.08909665398,600
"733",33.4,-119,733,99.8485965341864,600
"769",33.4,-118.8,769,93.4072122353134,600
"805",33.4,-118.6,805,90.3655404888597,600
"841",33.4,-118.4,841,91.0648953728483,715
"877",33.4,-118.2,877,95.4230559309452,600
"913",33.4,-118,913,102.976507727507,600
"949",33.4,-117.8,949,113.086754917296,600
"985",33.4,-117.6,985,125.135567863321,413
"1021",33.4,-117.4,1021,138.618321068154,520
"1057",33.4,-117.2,1057,153.156738328603,700
"1093",33.4,-117,1093,168.47770481384,705
"1129",33.4,-116.8,1129,184.386203157056,652
"1165",33.4,-116.6,1165,200.742546561142,692
"1201",33.4,-116.4,1201,217.445642641818,694
"1237",33.4,-116.2,1237,234.421325962567,659
"1273",33.4,-116,1273,251.614373069225,600
"1309",33.4,-115.8,1309,268.983047734506,347
"1345",33.4,-115.6,1345,286.495350106428,352
"1381",33.4,-115.4,1381,304.126409574565,447
"1417",33.4,-115.2,1417,321.856649384688,437
"1453",33.4,-115,1453,339.670477045055,442
"1489",33.4,-114.8,1489,357.555337200389,401
"1525",33.4,-114.6,1525,375.501017577448,304
"1561",33.4,-114.4,1561,393.49913392259,336
"1597",33.4,-114.2,1597,411.542743161596,316
"1633",33.4,-114,1633,429.626049554765,525
"14",33.6,-123,14,418.290713816126,600
"50",33.6,-122.8,50,400.05517214556,600
"86",33.6,-122.6,86,381.844007228686,600
"122",33.6,-122.4,122,363.660955622942,600
"158",33.6,-122.2,158,345.51053038984,600
"194",33.6,-122,194,327.398232484365,600
"230",33.6,-121.8,230,309.330834208,600
