field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
1018,32.8,-117.4,1018,188.9996425,600,4.044863224,,
1054,32.8,-117.2,1054,199.9800554,453,3.898584604,,
1090,32.8,-117,1090,212.022891,446,4.590081215,,
1126,32.8,-116.8,1126,224.9575464,660,3.733469725,,
1162,32.8,-116.6,1162,238.639007,680,3.638544798,,
1198,32.8,-116.4,1198,252.9460748,690,3.649924517,,
1234,32.8,-116.2,1234,267.7784434,703,3.658848524,,
1270,32.8,-116,1270,283.053495,563,3.85071826,,
1306,32.8,-115.8,1306,298.7032712,235,4.179461002,,
1342,32.8,-115.6,1342,314.6718141,220,4.117826462,,
1378,32.8,-115.4,1378,330.9129246,268,3.483161449,,
1414,32.8,-115.2,1414,347.3883195,242,3.73007226,,
1450,32.8,-115,1450,364.0661362,374,3.429210663,,
1486,32.8,-114.8,1486,380.91973,367,3.274103165,,
1522,32.8,-114.6,1522,397.9267083,300,3.020652771,,
1558,32.8,-114.4,1558,415.068158,560,3.046138763,,
1594,32.8,-114.2,1594,432.3280244,414,3.282703638,,
1630,32.8,-114,1630,449.6926121,321,,,
11,33,-123,11,435.4597246,600,,,
47,33,-122.8,47,417.8501721,600,,,
83,33,-122.6,83,400.3258558,600,3.324224949,,
119,33,-122.4,119,382.898549,600,3.373454809,,
155,33,-122.2,155,365.5821952,600,3.423463583,,
191,33,-122,191,348.3934085,600,3.474276781,,
227,33,-121.8,227,331.3521112,600,3.525912285,,
263,33,-121.6,263,314.4823499,600,3.578376293,,
299,33,-121.4,299,297.8133443,600,3.6316576,,
335,33,-121.2,335,281.3808431,600,3.685716867,,
371,33,-121,371,265.2288752,600,3.740472555,,
407,33,-120.8,407,249.412015,600,3.795779228,,
443,33,-120.6,443,233.9982912,600,3.851400614,,
479,33,-120.4,479,219.0728763,600,3.90697217,,
515,33,-120.2,515,204.742651,600,3.961965561,,
551,33,-120,551,191.1415886,600,4.015657425,,
587,33,-119.8,587,178.4365617,600,4.067119598,,
623,33,-119.6,623,166.8324598,600,4.115291119,,
659,33,-119.4,659,156.574299,600,4.16388607,,
695,33,-119.2,695,147.942365,600,4.212684155,,
731,33,-119,731,141.2351804,600,4.25747633,,
767,33,-118.8,767,136.736304,600,4.298899651,,
803,33,-118.6,803,134.6672566,600,4.336647034,,
839,33,-118.4,839,135.1396971,600,4.358623982,,
