,network,station,latitude,longitude,site_term
1782,CE,24385,34.187,-118.312,0.07145181491872167
1783,CE,24386,34.22,-118.471,0.21629909323055144
1784,CE,24397,34.097,-118.289,0.9184212524122198
1785,CE,24455,34.134,-118.126,0.13640352950064935
1786,CE,24457,34.583,-118.145,1.3572462318013985
1787,CE,24458,34.584,-118.146,0.15467442245369653
1788,CE,24460,34.14,-118.124,0.6093123214210372
1789,CE,24463,34.027,-118.225,0.029157819058379775
1790,CE,24465,34.14,-118.125,0.021770140084097955
1791,CE,24505,34.9947,-118.9491,0.17404471866443494
1792,CE,24517,34.687,-118.158,0.7330799253896071
1793,CE,24545,34.577,-118.133,-0.4120493954403686
1794,CE,24566,34.148,-118.152,0.412782346714946
1795,CE,24587,34.194,-118.35,0.18022606774947605
1796,CE,24609,34.688,-118.159,1.8481125021151412
1797,CE,24629,34.048,-118.262,0.5243468865338872
1798,CE,24645,34.158,-118.488,0.11982963837809192
1799,CE,24660,34.05,-118.26,1.1683990796179384
1800,CE,24661,34.687,-118.16,0.4349171012278248
1801,CE,24703,34.036,-118.378,-0.06735476975759917
1802,CE,24723,34.05,-118.176,0.4248328871780347
1803,CE,24965,34.57,-118.03,0.04554985999261758
1804,CE,24967,34.603,-118.182,0.3725446173389969
1805,CE,33742,35.67,-117.819,-0.4572142071608866
1806,CE,34189,35.147,-118.576,0.25636280608029216
1807,CE,34234,35.382,-118.97,-0.2723842259628053
1808,CE,34235,35.382,-118.968,-0.03732511729659781
1809,CE,35479,35.3382,-119.0473,0.19878584894163054
1810,CE,35480,35.2923,-119.0571,-0.15313802778166286
1811,CE,35511,35.0586,-119.0838,-0.06706403733554947
1812,CE,43158,36.2281,-117.9699,-0.15768740870735767
1813,CE,47236,36.572,-121.184,-0.09853336043302444
1814,CE,47499,36.5077,-121.4427,-0.0221586463552822
1815,CE,56012,37.1004,-120.8184,0.26823525760939154
1816,CE,65398,38.771,-119.815,0.215919156379652
1817,CE,65654,38.2555,-119.229,-0.015935807743054375
1818,CI,CKP,33.55507,-114.8904,0.2445277139343685
1819,CI,CLI2,33.12112,-115.58016,-0.3423574054376659
1820,CI,DSN8,34.1362,-118.1276,0.6058619786351146
1821,CI,FRM,34.77518,-118.96935,-0.5011828409046452
1822,CI,MES,34.263111,-119.095882,-0.12672984364928966
1823,CI,OCP,32.748000000000005,-116.019,0.3551701111975494
1824,CI,Q0056,34.839291,-117.149857,-0.03079494570834848
1825,CI,Q0058,33.062809,-116.854103,-0.6020676488250255
1826,CI,Q0078,33.133579,-117.111,-0.6332753986810697
1827,CI,RCU,34.08309000000001,-117.52442,-0.01933805242192961
1828,CI,SSS,34.03103,-117.45498,-0.5944522519553503
1829,CI,VCP,33.23934000000001,-117.02125,-0.4037731223274623
1830,CI,VLY,33.73615,-117.15806,-0.1809647871130529
1831,CI,WMD,33.03826,-115.58191,0.19398200185834255
1832,NC,BPE,36.405915,-121.491651,-0.2562734766178952
1833,NC,BSG,36.413811,-121.25518,-0.33171047222546424
1834,NC,C016,37.396355,-121.867027,0.2189589840732355
1835,NC,C039,37.467072,-121.911598,0.2727502589155801
